"Pos","Id_pl","Name","Surname","Country","Pts","Date"
33,20,"Wojciech","Kowalski","POL",26,"1996-04-21"
33,25,"Mark","Knowles","BAH",26,"1996-04-21"
36,41,"Shuzo","Matsuoka","JPN",22,"1996-04-21"
37,22,"Greg","Rusedski","GBR",9,"1996-04-21"
38,43,"Albert","Costa","ESP",3,"1996-04-21"
39,26,"Grant","Connell","CAN",2,"1996-04-21"
0,0,"A","B","c",0,"1971-01-01"
1,2,"Andre","Agassi","USA",2181,"1996-04-28"
2,3,"Boris","Becker","GER",1642,"1996-04-28"
3,7,"Yevgeny","Kafelnikow","RUS",1150,"1996-04-28"
4,4,"Wayne","Ferreira","RSA",1107,"1996-04-28"
5,8,"Mark","Philippoussis","AUS",1028,"1996-04-28"
6,36,"Carlos","Moya","ESP",919,"1996-04-28"
7,6,"Michael","Chang","USA",788,"1996-04-28"
8,5,"Thomas","Muster","AUT",666,"1996-04-28"
9,1,"Pete","Sampras","USA",652,"1996-04-28"
10,34,"Marcelo","Rios","CHI",520,"1996-04-28"
11,29,"Cedric","Pioline","FRA",498,"1996-04-28"
12,28,"Guy","Forget","FRA",400,"1996-04-28"
13,27,"Byron","Black","ZIM",369,"1996-04-28"
14,14,"Marc","Rosset","SUI",322,"1996-04-28"
15,12,"Richard","Krajicek","NED",303,"1996-04-28"
16,10,"Goran","Ivanisevic","CRO",242,"1996-04-28"
17,17,"Arnaud","Boetsch","FRA",238,"1996-04-28"
18,18,"Andrei","Medvedev","UKR",213,"1996-04-28"
19,16,"Michael","Stich","GER",196,"1996-04-28"
20,22,"Greg","Rusedski","GBR",191,"1996-04-28"
21,19,"Todd","Martin","USA",189,"1996-04-28"
22,9,"Thomas","Enqvist","SWE",163,"1996-04-28"
23,33,"Javier","Frana","ARG",144,"1996-04-28"
24,21,"Bartlomiej","Dabrowski","POL",123,"1996-04-28"
25,11,"Jim","Courier","USA",122,"1996-04-28"
26,31,"Kenneth","Carlsen","DEN",80,"1996-04-28"
27,30,"Alejandro","Hernandez","MEX",74,"1996-04-28"
28,15,"Andrea","Gaudenzi","ITA",73,"1996-04-28"
29,32,"Olivier","Rochus","BEL",34,"1996-04-28"
30,40,"Leander","Paes","IND",32,"1996-04-28"
31,23,"Stefan","Edberg","SWE",30,"1996-04-28"
31,37,"Marat","Safin","RUS",30,"1996-04-28"
33,35,"Nicolas","Periera","URG",28,"1996-04-28"
34,13,"Sergi","Bruguera","ESP",26,"1996-04-28"
34,20,"Wojciech","Kowalski","POL",26,"1996-04-28"
34,25,"Mark","Knowles","BAH",26,"1996-04-28"
37,41,"Shuzo","Matsuoka","JPN",24,"1996-04-28"
38,43,"Albert","Costa","ESP",3,"1996-04-28"
39,26,"Grant","Connell","CAN",2,"1996-04-28"
0,0,"A","B","c",0,"1971-01-01"
1,2,"Andre","Agassi","USA",2181,"1996-05-04"
2,3,"Boris","Becker","GER",1642,"1996-05-04"
3,7,"Yevgeny","Kafelnikow","RUS",1150,"1996-05-04"
4,4,"Wayne","Ferreira","RSA",1133,"1996-05-04"
5,36,"Carlos","Moya","ESP",1101,"1996-05-04"
6,8,"Mark","Philippoussis","AUS",1028,"1996-05-04"
7,6,"Michael","Chang","USA",818,"1996-05-04"
8,5,"Thomas","Muster","AUT",666,"1996-05-04"
9,1,"Pete","Sampras","USA",654,"1996-05-04"
10,34,"Marcelo","Rios","CHI",520,"1996-05-04"
11,29,"Cedric","Pioline","FRA",500,"1996-05-04"
12,28,"Guy","Forget","FRA",400,"1996-05-04"
13,18,"Andrei","Medvedev","UKR",395,"1996-05-04"
14,27,"Byron","Black","ZIM",369,"1996-05-04"
15,14,"Marc","Rosset","SUI",322,"1996-05-04"
16,10,"Goran","Ivanisevic","CRO",320,"1996-05-04"
17,12,"Richard","Krajicek","NED",303,"1996-05-04"
18,22,"Greg","Rusedski","GBR",269,"1996-05-04"
19,19,"Todd","Martin","USA",267,"1996-05-04"
20,17,"Arnaud","Boetsch","FRA",240,"1996-05-04"
21,23,"Stefan","Edberg","SWE",212,"1996-05-04"
22,16,"Michael","Stich","GER",196,"1996-05-04"
23,9,"Thomas","Enqvist","SWE",165,"1996-05-04"
24,21,"Bartlomiej","Dabrowski","POL",153,"1996-05-04"
25,33,"Javier","Frana","ARG",146,"1996-05-04"
26,11,"Jim","Courier","USA",122,"1996-05-04"
